claim_id,claim_scope,quantity,value,unit,denominator,source_file,selector,source_column,interpretation,lock_status
A6_MP_SELECTION_REGRET_MEDIAN_MINIMUM,abstract,minimum_median_MP_selection_regret_across_non_MP_endpoints,1.0,stable hits per 1000,four non-MP physical endpoints,outputs/referee_revision_v3/bootstrap/endpoint_selection_regret_cluster_bootstrap.csv,"threshold_meV_per_atom == 0 and metric == ""expected_stable_hits_at_1000"" and coordinate_endpoint != ""mp_source_coordinate""",regret_max_median,Regret is endpoint best minus an MP-selected model within each bootstrap replicate.,locked_to_unique_machine_readable_source
A6_MP_SELECTION_REGRET_MEDIAN_MAXIMUM,abstract,maximum_median_MP_selection_regret_across_non_MP_endpoints,3.0,stable hits per 1000,four non-MP physical endpoints,outputs/referee_revision_v3/bootstrap/endpoint_selection_regret_cluster_bootstrap.csv,"threshold_meV_per_atom == 0 and metric == ""expected_stable_hits_at_1000"" and coordinate_endpoint != ""mp_source_coordinate""",regret_max_median,Regret is endpoint best minus an MP-selected model within each bootstrap replicate.,locked_to_unique_machine_readable_source
R1_WITHDRAWN_TIE_MINIMUM,reviewer_response,minimum_withdrawn_top1000_boundary_tie_size,15688,rows,four previous self-included model rankings,outputs/referee_revision_v3/superseded_ranking_audit/previous_self_included_hull_tie_audit.csv,K == 1000,boundary_tie_n,Superseded analysis; retained only as a failure audit.,locked_to_unique_machine_readable_source
R1_WITHDRAWN_TIE_MAXIMUM,reviewer_response,maximum_withdrawn_top1000_boundary_tie_size,19190,rows,four previous self-included model rankings,outputs/referee_revision_v3/superseded_ranking_audit/previous_self_included_hull_tie_audit.csv,K == 1000,boundary_tie_n,Superseded analysis; retained only as a failure audit.,locked_to_unique_machine_readable_source
R2_OLD_MACE_ROW_ID_HITS,reviewer_response,row_id_selected_hits,802.0,stable hits,previous MACE-MP MP-native top-1000,outputs/referee_revision_v3/superseded_ranking_audit/previous_row_id_vs_analytic_tie_topk.csv,"model_name == ""MACE-MP"" and endpoint == ""mp_native"" and K == 1000",row_id_selected_hits,Superseded analysis diagnostic.,locked_to_unique_machine_readable_source
R3_OLD_MACE_TIE_EXPECTATION,reviewer_response,expected_stable_hits,706.2312831144898,stable hits,previous MACE-MP MP-native top-1000,outputs/referee_revision_v3/superseded_ranking_audit/previous_row_id_vs_analytic_tie_topk.csv,"model_name == ""MACE-MP"" and endpoint == ""mp_native"" and K == 1000",expected_stable_hits,Superseded analysis diagnostic.,locked_to_unique_machine_readable_source
R4_OLD_MACE_TIE_CI_LOW,reviewer_response,tie_interval_low_hits,679.0,stable hits,previous MACE-MP MP-native top-1000,outputs/referee_revision_v3/superseded_ranking_audit/previous_row_id_vs_analytic_tie_topk.csv,"model_name == ""MACE-MP"" and endpoint == ""mp_native"" and K == 1000",tie_interval_low_hits,Superseded analysis diagnostic.,locked_to_unique_machine_readable_source
R5_OLD_MACE_TIE_CI_HIGH,reviewer_response,tie_interval_high_hits,733.0,stable hits,previous MACE-MP MP-native top-1000,outputs/referee_revision_v3/superseded_ranking_audit/previous_row_id_vs_analytic_tie_topk.csv,"model_name == ""MACE-MP"" and endpoint == ""mp_native"" and K == 1000",tie_interval_high_hits,Superseded analysis diagnostic.,locked_to_unique_machine_readable_source
R6_PRIMARY_EXCLUSION_EVALUATION_N,reviewer_response,primary_candidate_model_exclusion_evaluation_n,146724,candidate-model evaluations,"four primary rankings over 36,681 compound candidates",outputs/referee_revision_v3/loso_exclusion_audit_summary.csv,"setting == ""primary""",row_n,Each row records full equivalence-class and decomposition-simplex exclusion.,locked_to_unique_machine_readable_source
R6_PRIMARY_SIMPLEX_OVERLAP_N,reviewer_response,excluded_equivalence_class_rows_in_decomposition_simplex_n,0,failed evaluations,"146,724 primary candidate-model evaluations",outputs/referee_revision_v3/loso_exclusion_audit_summary.csv,"setting == ""primary""",simplex_overlap_n,Zero means no excluded equivalence-class row appears in any decomposition simplex.,locked_to_unique_machine_readable_source
R6_COMMON_ALL_NATIVE_CONFLICT_N,results,all_native_conflict_n,5666,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",all_native_conflict_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R6_COMMON_RECONSTRUCTABLE_NATIVE_CONFLICT_N,results,reconstructable_native_conflict_n,5661,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",reconstructable_native_conflict_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R6_COMMON_UNRECONSTRUCTABLE_NATIVE_CONFLICT_N,results,unreconstructable_native_conflict_n,5,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",unreconstructable_native_conflict_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R6_COMMON_PHASE_POOL_SENSITIVE_N,results,phase_pool_sensitive_n,3659,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",phase_pool_sensitive_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R6_COMMON_PERSISTENT_CONFLICT_N,results,persistent_conflict_n,2002,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",persistent_conflict_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R6_COMMON_HIDDEN_COMMON_POOL_CONFLICT_N,results,hidden_common_pool_conflict_n,2895,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",hidden_common_pool_conflict_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R6_COMMON_COMMON_POOL_CONFLICT_N,results,common_pool_conflict_n,4897,rows,D2; reconstructable subset where required,outputs/referee_revision_v3/evaluation/common_pool_decomposition_threshold_scan.csv,"support == ""D2"" and threshold_meV_per_atom == 0",common_pool_conflict_n,Operational conflict component with explicit denominator.,locked_to_unique_machine_readable_source
R7_MPHYS_RETAINED_N,supplementary,Mphys_retained_n,36650,rows,frozen compound candidate universe,outputs/referee_revision_v3/mphys_support_exclusion_audit/mphys_retained_excluded_metadata.json,top-level metadata,mphys_retained_n,Rows with all four rankings and all five physical hull coordinates.,locked_to_unique_machine_readable_source
R8_MPHYS_EXCLUDED_N,supplementary,candidate_excluded_from_Mphys_n,31,rows,frozen compound candidate universe,outputs/referee_revision_v3/mphys_support_exclusion_audit/mphys_retained_excluded_metadata.json,top-level metadata,candidate_excluded_n,Compound candidates lacking at least one physical coordinate; the retained/excluded audit is reported in the SI.,locked_to_unique_machine_readable_source
R9_MPHYS_EXCLUDED_MP_MATCHED_POOL_EVALUABLE_N,supplementary,MP_matched_pool_evaluable_n_in_excluded_candidates,0,rows,31 compound candidates excluded from Mphys,outputs/referee_revision_v3/mphys_support_exclusion_audit/mphys_retained_excluded_summary.csv,"group == ""candidate excluded"" and feature == ""MP matched-pool stable fraction""",n_evaluable,The excluded candidates are non-random with respect to matched-pool coordinate coverage.,locked_to_unique_machine_readable_source
B1_MATERIALS_BINARY_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.1621435459429673,fraction,D2 rows in Binary stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""Binary""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
B2_MATERIALS_TERNARY_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.1693504613714492,fraction,D2 rows in Ternary stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""Ternary""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
B3_MATERIALS_QUATERNARY_PLUS_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.0995215311004784,fraction,D2 rows in Quaternary+ stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""Quaternary+""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
B4_MATERIALS_LANTHANIDE_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.1765540944411237,fraction,D2 rows in Lanthanide stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""Lanthanide""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
B5_MATERIALS_HALOGEN_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.1709729511505854,fraction,D2 rows in Halogen stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""Halogen""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
B6_MATERIALS_NO_OXYGEN_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.1723285080381174,fraction,D2 rows in No oxygen stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""No oxygen""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
B7_MATERIALS_OXYGEN_DISCORDANCE_RATE,results,MP--Alexandria-PBE_zero_threshold_discordance_rate,0.0996991834980661,fraction,D2 rows in Oxygen stratum,outputs/referee_revision_v3/figure_sources/fig3_materials_chemistry_strata.csv,"stratum == ""Oxygen""",discordance_rate,Descriptive chemistry stratum; overlapping descriptors do not identify a mechanism.,locked_to_unique_machine_readable_source
S1_MATCH_TIGHT_D1_RETAINED_N,supplementary,d1_retained_n,42799,rows,tight matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""tight""",d1_retained_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_TIGHT_D2_RETAINED_N,supplementary,d2_retained_n,35877,rows,tight matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""tight""",d2_retained_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_TIGHT_MPHYS_TOLERANCE_SPECIFIC_N,supplementary,mphys_tolerance_specific_n,35745,rows,tight matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""tight""",mphys_tolerance_specific_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_TIGHT_EQUIVALENCE_CLASS_N,supplementary,equivalence_class_n,35746,rows,tight matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""tight""",equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_TIGHT_NON_SINGLETON_EQUIVALENCE_CLASS_N,supplementary,non_singleton_equivalence_class_n,918,rows,tight matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""tight""",non_singleton_equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_TIGHT_LARGEST_EQUIVALENCE_CLASS_N,supplementary,largest_equivalence_class_n,6,rows,tight matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""tight""",largest_equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_DEFAULT_D1_RETAINED_N,supplementary,d1_retained_n,43139,rows,default matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""default""",d1_retained_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_DEFAULT_D2_RETAINED_N,supplementary,d2_retained_n,36802,rows,default matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""default""",d2_retained_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_DEFAULT_MPHYS_TOLERANCE_SPECIFIC_N,supplementary,mphys_tolerance_specific_n,36650,rows,default matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""default""",mphys_tolerance_specific_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_DEFAULT_EQUIVALENCE_CLASS_N,supplementary,equivalence_class_n,35740,rows,default matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""default""",equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_DEFAULT_NON_SINGLETON_EQUIVALENCE_CLASS_N,supplementary,non_singleton_equivalence_class_n,922,rows,default matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""default""",non_singleton_equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_DEFAULT_LARGEST_EQUIVALENCE_CLASS_N,supplementary,largest_equivalence_class_n,6,rows,default matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""default""",largest_equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_LOOSE_D1_RETAINED_N,supplementary,d1_retained_n,43139,rows,loose matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""loose""",d1_retained_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_LOOSE_D2_RETAINED_N,supplementary,d2_retained_n,36802,rows,loose matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""loose""",d2_retained_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_LOOSE_MPHYS_TOLERANCE_SPECIFIC_N,supplementary,mphys_tolerance_specific_n,36650,rows,loose matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""loose""",mphys_tolerance_specific_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_LOOSE_EQUIVALENCE_CLASS_N,supplementary,equivalence_class_n,35449,rows,loose matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""loose""",equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_LOOSE_NON_SINGLETON_EQUIVALENCE_CLASS_N,supplementary,non_singleton_equivalence_class_n,1155,rows,loose matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""loose""",non_singleton_equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
S1_MATCH_LOOSE_LARGEST_EQUIVALENCE_CLASS_N,supplementary,largest_equivalence_class_n,6,rows,loose matching sensitivity,outputs/referee_revision_v3/matching_sensitivity/matching_sensitivity_summary.csv,"matching_tolerance == ""loose""",largest_equivalence_class_n,Cross-source counts are frozen-mapping survival; equivalence counts rebuild the full D5 graph.,locked_to_unique_machine_readable_source
