candidate_id,pipeline_name,formula,candidate_reduced_formula,chemical_system,matched_to_sourceaware,formula_overlap_with_sourceaware,formula_sourceaware_row_count,formula_support_status,formula_sourceaware_mp_examples
CHGSCREEN-00014,CHGNet_screened_public_hull_top5000,CrNi3,CrNi3,Cr-Ni,True,True,3,exact_sourceaware_structure_label_match,mp-1007923;mp-1007974;mp-1226338
CHGSCREEN-00015,CHGNet_screened_public_hull_top5000,CrCo3,CrCo3,Co-Cr,True,True,3,exact_sourceaware_structure_label_match,mp-1008280;mp-1087479;mp-1226209
CHGSCREEN-00016,CHGNet_screened_public_hull_top5000,CeH3,CeH3,Ce-H,False,True,1,formula_only_overlap_no_label_assignment,mp-1183713
CHGSCREEN-00017,CHGNet_screened_public_hull_top5000,AlCu3,AlCu3,Al-Cu,False,True,1,formula_only_overlap_no_label_assignment,mp-1183216
CHGSCREEN-00018,CHGNet_screened_public_hull_top5000,YbAg2,YbAg2,Ag-Yb,True,True,1,exact_sourceaware_structure_label_match,mp-1008617
CHGSCREEN-00019,CHGNet_screened_public_hull_top5000,CeScSi,CeScSi,Ce-Sc-Si,True,True,1,exact_sourceaware_structure_label_match,mp-10087
CHGSCREEN-00020,CHGNet_screened_public_hull_top5000,Tm5(ReO6)2,Tm5(ReO6)2,O-Re-Tm,True,True,1,exact_sourceaware_structure_label_match,mp-10094
CHGSCREEN-00021,CHGNet_screened_public_hull_top5000,Hf,Hf,Hf,False,True,1,formula_only_overlap_no_label_assignment,mp-103
CHGSCREEN-00022,CHGNet_screened_public_hull_top5000,EuZnGe,EuZnGe,Eu-Ge-Zn,True,True,4,exact_sourceaware_structure_label_match,mp-1009504;mp-1018699;mp-1077151;mp-1103084
CHGSCREEN-00023,CHGNet_screened_public_hull_top5000,CaN2,CaN2,Ca-N,True,True,1,exact_sourceaware_structure_label_match,mp-1009657
CHGSCREEN-00024,CHGNet_screened_public_hull_top5000,Ca2Sn,Ca2Sn,Ca-Sn,True,True,1,exact_sourceaware_structure_label_match,mp-1009730
CHGSCREEN-00025,CHGNet_screened_public_hull_top5000,Ca2Pb,Ca2Pb,Ca-Pb,True,True,1,exact_sourceaware_structure_label_match,mp-1009756
CHGSCREEN-00026,CHGNet_screened_public_hull_top5000,Cs2Se,Cs2Se,Cs-Se,True,True,7,exact_sourceaware_structure_label_match,mp-1011695;mp-1011696;mp-1011709;mp-1080258;mp-1080276
CHGSCREEN-00027,CHGNet_screened_public_hull_top5000,CrFeCoNi,CrFeCoNi,Co-Cr-Fe-Ni,True,True,1,exact_sourceaware_structure_label_match,mp-1012640
CHGSCREEN-00028,CHGNet_screened_public_hull_top5000,Ti2Zn,Ti2Zn,Ti-Zn,True,True,1,exact_sourceaware_structure_label_match,mp-1014229
CHGSCREEN-00029,CHGNet_screened_public_hull_top5000,Na3SbS4,Na3SbS4,Na-S-Sb,True,True,1,exact_sourceaware_structure_label_match,mp-10167
CHGSCREEN-00030,CHGNet_screened_public_hull_top5000,CdNi3N,CdNi3N,Cd-N-Ni,True,True,1,exact_sourceaware_structure_label_match,mp-1017554
CHGSCREEN-00031,CHGNet_screened_public_hull_top5000,Ho3AlN,Ho3AlN,Al-Ho-N,True,True,1,exact_sourceaware_structure_label_match,mp-1017577
CHGSCREEN-00032,CHGNet_screened_public_hull_top5000,Ni3SnN,Ni3SnN,N-Ni-Sn,True,True,1,exact_sourceaware_structure_label_match,mp-1017632
CHGSCREEN-00033,CHGNet_screened_public_hull_top5000,NiAgSe2,NiAgSe2,Ag-Ni-Se,True,True,1,exact_sourceaware_structure_label_match,mp-1018020
CHGSCREEN-00034,CHGNet_screened_public_hull_top5000,MgSe,MgSe,Mg-Se,True,True,3,exact_sourceaware_structure_label_match,mp-1018040;mp-10760;mp-13031
CHGSCREEN-00035,CHGNet_screened_public_hull_top5000,GaSb,GaSb,Ga-Sb,True,True,2,exact_sourceaware_structure_label_match,mp-1018059;mp-1156
CHGSCREEN-00036,CHGNet_screened_public_hull_top5000,HoGa,HoGa,Ga-Ho,True,True,1,exact_sourceaware_structure_label_match,mp-1018073
CHGSCREEN-00037,CHGNet_screened_public_hull_top5000,CaGaGeH,CaGaGeH,Ca-Ga-Ge-H,True,True,1,exact_sourceaware_structure_label_match,mp-1018093
CHGSCREEN-00038,CHGNet_screened_public_hull_top5000,Ba2NCl,Ba2NCl,Ba-Cl-N,True,True,1,exact_sourceaware_structure_label_match,mp-1018099
CHGSCREEN-00039,CHGNet_screened_public_hull_top5000,YbBiPt,YbBiPt,Bi-Pt-Yb,True,True,1,exact_sourceaware_structure_label_match,mp-1018106
CHGSCREEN-00040,CHGNet_screened_public_hull_top5000,MgNi,MgNi,Mg-Ni,True,True,4,exact_sourceaware_structure_label_match,mp-1010953;mp-1018140;mp-1185908;mp-978288
CHGSCREEN-00041,CHGNet_screened_public_hull_top5000,LaH3,LaH3,H-La,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00042,CHGNet_screened_public_hull_top5000,Hf2Cd,Hf2Cd,Cd-Hf,True,True,1,exact_sourceaware_structure_label_match,mp-1018156
CHGSCREEN-00043,CHGNet_screened_public_hull_top5000,CePbAu,CePbAu,Au-Ce-Pb,True,True,1,exact_sourceaware_structure_label_match,mp-1018661
CHGSCREEN-00044,CHGNet_screened_public_hull_top5000,CoPPd,CoPPd,Co-P-Pd,True,True,1,exact_sourceaware_structure_label_match,mp-1018673
CHGSCREEN-00045,CHGNet_screened_public_hull_top5000,DyZnGa,DyZnGa,Dy-Ga-Zn,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00046,CHGNet_screened_public_hull_top5000,DySe2,DySe2,Dy-Se,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00047,CHGNet_screened_public_hull_top5000,EuHgPb,EuHgPb,Eu-Hg-Pb,True,True,1,exact_sourceaware_structure_label_match,mp-1018698
CHGSCREEN-00048,CHGNet_screened_public_hull_top5000,Hf2GaSb3,Hf2GaSb3,Ga-Hf-Sb,True,True,1,exact_sourceaware_structure_label_match,mp-1018709
CHGSCREEN-00049,CHGNet_screened_public_hull_top5000,HoS2,HoS2,Ho-S,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00050,CHGNet_screened_public_hull_top5000,LaGe2Ir3,LaGe2Ir3,Ge-Ir-La,True,True,1,exact_sourceaware_structure_label_match,mp-1018746
CHGSCREEN-00051,CHGNet_screened_public_hull_top5000,Li3LaAs2,Li3LaAs2,As-La-Li,True,True,1,exact_sourceaware_structure_label_match,mp-1018766
CHGSCREEN-00052,CHGNet_screened_public_hull_top5000,MnCoSb,MnCoSb,Co-Mn-Sb,True,True,2,exact_sourceaware_structure_label_match,mp-1018803;mp-5318
CHGSCREEN-00053,CHGNet_screened_public_hull_top5000,NiPRh,NiPRh,Ni-P-Rh,True,True,2,exact_sourceaware_structure_label_match,mp-1018823;mp-1079265
CHGSCREEN-00054,CHGNet_screened_public_hull_top5000,PrTlCd,PrTlCd,Cd-Pr-Tl,True,True,1,exact_sourceaware_structure_label_match,mp-1018942
CHGSCREEN-00055,CHGNet_screened_public_hull_top5000,KMgAs,KMgAs,As-K-Mg,True,True,1,exact_sourceaware_structure_label_match,mp-1019089
CHGSCREEN-00056,CHGNet_screened_public_hull_top5000,SmGeAu,SmGeAu,Au-Ge-Sm,True,True,1,exact_sourceaware_structure_label_match,mp-1019101
CHGSCREEN-00057,CHGNet_screened_public_hull_top5000,B2S2O9,B2S2O9,B-O-S,True,True,1,exact_sourceaware_structure_label_match,mp-1019509
CHGSCREEN-00058,CHGNet_screened_public_hull_top5000,CaAl2SiO6,CaAl2SiO6,Al-Ca-O-Si,True,True,2,exact_sourceaware_structure_label_match,mp-1019586;mp-1019587
CHGSCREEN-00059,CHGNet_screened_public_hull_top5000,Mn3PdN,Mn3PdN,Mn-N-Pd,True,True,1,exact_sourceaware_structure_label_match,mp-10198
CHGSCREEN-00060,CHGNet_screened_public_hull_top5000,LiBeBO3,LiBeBO3,B-Be-Li-O,True,True,1,exact_sourceaware_structure_label_match,mp-1020026
CHGSCREEN-00061,CHGNet_screened_public_hull_top5000,LiCaAlN2,LiCaAlN2,Al-Ca-Li-N,True,True,1,exact_sourceaware_structure_label_match,mp-1020031
CHGSCREEN-00062,CHGNet_screened_public_hull_top5000,LiLaO2,LiLaO2,La-Li-O,True,True,2,exact_sourceaware_structure_label_match,mp-1020057;mp-756544
CHGSCREEN-00063,CHGNet_screened_public_hull_top5000,SiP2O7,SiP2O7,O-P-Si,True,True,2,exact_sourceaware_structure_label_match,mp-1020608;mp-554758
CHGSCREEN-00064,CHGNet_screened_public_hull_top5000,ZnSiN2,ZnSiN2,N-Si-Zn,True,True,1,exact_sourceaware_structure_label_match,mp-1020712
CHGSCREEN-00065,CHGNet_screened_public_hull_top5000,Mg6GaSn,Mg6GaSn,Ga-Mg-Sn,True,True,2,exact_sourceaware_structure_label_match,mp-1021394;mp-1021401
CHGSCREEN-00066,CHGNet_screened_public_hull_top5000,Y2GeRh3,Y2GeRh3,Ge-Rh-Y,True,True,1,exact_sourceaware_structure_label_match,mp-10214
CHGSCREEN-00067,CHGNet_screened_public_hull_top5000,Ce(FeAs3)4,Ce(FeAs3)4,As-Ce-Fe,True,True,1,exact_sourceaware_structure_label_match,mp-1021509
CHGSCREEN-00068,CHGNet_screened_public_hull_top5000,Na2PdS2,Na2PdS2,Na-Pd-S,True,True,1,exact_sourceaware_structure_label_match,mp-10223
CHGSCREEN-00069,CHGNet_screened_public_hull_top5000,Mg6ZnCd,Mg6ZnCd,Cd-Mg-Zn,True,True,2,exact_sourceaware_structure_label_match,mp-1022589;mp-1022607
CHGSCREEN-00070,CHGNet_screened_public_hull_top5000,SrYMg6,SrYMg6,Mg-Sr-Y,True,True,2,exact_sourceaware_structure_label_match,mp-1022804;mp-1022805
CHGSCREEN-00071,CHGNet_screened_public_hull_top5000,CaMg6Cd,CaMg6Cd,Ca-Cd-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1023143;mp-1023154
CHGSCREEN-00072,CHGNet_screened_public_hull_top5000,LiCaMg6,LiCaMg6,Ca-Li-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1023163;mp-1023253
CHGSCREEN-00073,CHGNet_screened_public_hull_top5000,LiMg6Al,LiMg6Al,Al-Li-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1023320;mp-1023399
CHGSCREEN-00074,CHGNet_screened_public_hull_top5000,Mg6AlZn,Mg6AlZn,Al-Mg-Zn,True,True,2,exact_sourceaware_structure_label_match,mp-1023483;mp-1023485
CHGSCREEN-00075,CHGNet_screened_public_hull_top5000,Mg15Sb,Mg15Sb,Mg-Sb,True,True,1,exact_sourceaware_structure_label_match,mp-1023488
CHGSCREEN-00076,CHGNet_screened_public_hull_top5000,Mg15Ga,Mg15Ga,Ga-Mg,True,True,1,exact_sourceaware_structure_label_match,mp-1023503
CHGSCREEN-00077,CHGNet_screened_public_hull_top5000,SrMg15,SrMg15,Mg-Sr,True,True,1,exact_sourceaware_structure_label_match,mp-1023511
CHGSCREEN-00078,CHGNet_screened_public_hull_top5000,Mg15Sn,Mg15Sn,Mg-Sn,True,True,1,exact_sourceaware_structure_label_match,mp-1023593
CHGSCREEN-00079,CHGNet_screened_public_hull_top5000,MoSe2,MoSe2,Mo-Se,False,True,3,formula_only_overlap_no_label_assignment,mp-1018807;mp-1634;mp-7581
CHGSCREEN-00080,CHGNet_screened_public_hull_top5000,MoS2,MoS2,Mo-S,False,True,4,formula_only_overlap_no_label_assignment,mp-1018809;mp-1027525;mp-1434;mp-2815
CHGSCREEN-00081,CHGNet_screened_public_hull_top5000,MoWS4,MoWS4,Mo-S-W,False,True,1,formula_only_overlap_no_label_assignment,mp-1027269
CHGSCREEN-00082,CHGNet_screened_public_hull_top5000,ErInNi4,ErInNi4,Er-In-Ni,True,True,1,exact_sourceaware_structure_label_match,mp-1024983
CHGSCREEN-00083,CHGNet_screened_public_hull_top5000,ErNi4Au,ErNi4Au,Au-Er-Ni,True,True,1,exact_sourceaware_structure_label_match,mp-1025001
CHGSCREEN-00084,CHGNet_screened_public_hull_top5000,HoInPt4,HoInPt4,Ho-In-Pt,True,True,1,exact_sourceaware_structure_label_match,mp-1025022
CHGSCREEN-00085,CHGNet_screened_public_hull_top5000,LaAg2,LaAg2,Ag-La,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00086,CHGNet_screened_public_hull_top5000,YbB2Ir3,YbB2Ir3,B-Ir-Yb,True,True,1,exact_sourceaware_structure_label_match,mp-1025071
CHGSCREEN-00087,CHGNet_screened_public_hull_top5000,TbB2Ir3,TbB2Ir3,B-Ir-Tb,True,True,1,exact_sourceaware_structure_label_match,mp-1025075
CHGSCREEN-00088,CHGNet_screened_public_hull_top5000,EuAsPd,EuAsPd,As-Eu-Pd,True,True,1,exact_sourceaware_structure_label_match,mp-1025079
CHGSCREEN-00089,CHGNet_screened_public_hull_top5000,LuGa5Co,LuGa5Co,Co-Ga-Lu,True,True,1,exact_sourceaware_structure_label_match,mp-1025155
CHGSCREEN-00090,CHGNet_screened_public_hull_top5000,V2FeSe4,V2FeSe4,Fe-Se-V,True,True,2,exact_sourceaware_structure_label_match,mp-1025182;mp-1216659
CHGSCREEN-00091,CHGNet_screened_public_hull_top5000,Cs2CaCl4,Cs2CaCl4,Ca-Cl-Cs,True,True,1,exact_sourceaware_structure_label_match,mp-1025185
CHGSCREEN-00092,CHGNet_screened_public_hull_top5000,Nd2Re2Si2C,Nd2Re2Si2C,C-Nd-Re-Si,True,True,1,exact_sourceaware_structure_label_match,mp-1025210
CHGSCREEN-00093,CHGNet_screened_public_hull_top5000,V(CrS2)2,V(CrS2)2,Cr-S-V,True,True,2,exact_sourceaware_structure_label_match,mp-1025224;mp-1216843
CHGSCREEN-00094,CHGNet_screened_public_hull_top5000,V2CrSe4,V2CrSe4,Cr-Se-V,True,True,1,exact_sourceaware_structure_label_match,mp-1025232
CHGSCREEN-00095,CHGNet_screened_public_hull_top5000,RhF6,RhF6,F-Rh,True,True,1,exact_sourceaware_structure_label_match,mp-1025250
CHGSCREEN-00096,CHGNet_screened_public_hull_top5000,Tb(TiGa2)2,Tb(TiGa2)2,Ga-Tb-Ti,True,True,1,exact_sourceaware_structure_label_match,mp-1025253
CHGSCREEN-00097,CHGNet_screened_public_hull_top5000,TmGa5Co,TmGa5Co,Co-Ga-Tm,True,True,1,exact_sourceaware_structure_label_match,mp-1025257
CHGSCREEN-00098,CHGNet_screened_public_hull_top5000,Cs2CuF4,Cs2CuF4,Cs-Cu-F,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00099,CHGNet_screened_public_hull_top5000,Ti2NiSe4,Ti2NiSe4,Ni-Se-Ti,True,True,1,exact_sourceaware_structure_label_match,mp-1025281
CHGSCREEN-00100,CHGNet_screened_public_hull_top5000,InAsPd5,InAsPd5,As-In-Pd,True,True,1,exact_sourceaware_structure_label_match,mp-1025293
CHGSCREEN-00101,CHGNet_screened_public_hull_top5000,Co(NiSe2)2,Co(NiSe2)2,Co-Ni-Se,True,True,2,exact_sourceaware_structure_label_match,mp-1025318;mp-1226512
CHGSCREEN-00102,CHGNet_screened_public_hull_top5000,Tb2Mo2C3,Tb2Mo2C3,C-Mo-Tb,True,True,1,exact_sourceaware_structure_label_match,mp-1025326
CHGSCREEN-00103,CHGNet_screened_public_hull_top5000,In2AgSe4,In2AgSe4,Ag-In-Se,True,True,1,exact_sourceaware_structure_label_match,mp-1025331
CHGSCREEN-00104,CHGNet_screened_public_hull_top5000,Cu2WSe4,Cu2WSe4,Cu-Se-W,True,True,1,exact_sourceaware_structure_label_match,mp-1025340
CHGSCREEN-00105,CHGNet_screened_public_hull_top5000,Er2Fe2Si2C,Er2Fe2Si2C,C-Er-Fe-Si,True,True,1,exact_sourceaware_structure_label_match,mp-1025354
CHGSCREEN-00106,CHGNet_screened_public_hull_top5000,Na2Ti2As2O,Na2Ti2As2O,As-Na-O-Ti,True,True,1,exact_sourceaware_structure_label_match,mp-1025360
CHGSCREEN-00107,CHGNet_screened_public_hull_top5000,GeRu,GeRu,Ge-Ru,True,True,1,exact_sourceaware_structure_label_match,mp-1025397
CHGSCREEN-00108,CHGNet_screened_public_hull_top5000,TlCu4Se3,TlCu4Se3,Cu-Se-Tl,True,True,1,exact_sourceaware_structure_label_match,mp-1025447
CHGSCREEN-00109,CHGNet_screened_public_hull_top5000,MgZrF6,MgZrF6,F-Mg-Zr,True,True,1,exact_sourceaware_structure_label_match,mp-1025460
CHGSCREEN-00110,CHGNet_screened_public_hull_top5000,LiNbSe2,LiNbSe2,Li-Nb-Se,True,True,1,exact_sourceaware_structure_label_match,mp-1025496
CHGSCREEN-00111,CHGNet_screened_public_hull_top5000,ZnCu2SnS4,ZnCu2SnS4,Cu-S-Sn-Zn,True,True,3,exact_sourceaware_structure_label_match,mp-1025500;mp-1079541;mp-1190224
CHGSCREEN-00112,CHGNet_screened_public_hull_top5000,BaIn2Pd,BaIn2Pd,Ba-In-Pd,True,True,1,exact_sourceaware_structure_label_match,mp-1025520
CHGSCREEN-00113,CHGNet_screened_public_hull_top5000,Zr2TlC,Zr2TlC,C-Tl-Zr,True,True,1,exact_sourceaware_structure_label_match,mp-1025524
CHGSCREEN-00114,CHGNet_screened_public_hull_top5000,Tl3VSe4,Tl3VSe4,Se-Tl-V,True,True,1,exact_sourceaware_structure_label_match,mp-1025549
CHGSCREEN-00115,CHGNet_screened_public_hull_top5000,GaPt,GaPt,Ga-Pt,True,True,1,exact_sourceaware_structure_label_match,mp-1025551
CHGSCREEN-00116,CHGNet_screened_public_hull_top5000,CoMoP2,CoMoP2,Co-Mo-P,True,True,1,exact_sourceaware_structure_label_match,mp-1025557
CHGSCREEN-00117,CHGNet_screened_public_hull_top5000,MnAg2GeTe4,MnAg2GeTe4,Ag-Ge-Mn-Te,True,True,1,exact_sourceaware_structure_label_match,mp-1025568
CHGSCREEN-00118,CHGNet_screened_public_hull_top5000,Te2Mo(WSe2)2,Te2Mo(WSe2)2,Mo-Se-Te-W,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00119,CHGNet_screened_public_hull_top5000,Te2W3Se4,Te2W3Se4,Se-Te-W,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00120,CHGNet_screened_public_hull_top5000,Mg14GaBi,Mg14GaBi,Bi-Ga-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1026407;mp-1026423
CHGSCREEN-00121,CHGNet_screened_public_hull_top5000,Mg14CrSn,Mg14CrSn,Cr-Mg-Sn,True,True,2,exact_sourceaware_structure_label_match,mp-1026399;mp-1026410
CHGSCREEN-00122,CHGNet_screened_public_hull_top5000,Mg14TiGa,Mg14TiGa,Ga-Mg-Ti,True,True,1,exact_sourceaware_structure_label_match,mp-1026424
CHGSCREEN-00123,CHGNet_screened_public_hull_top5000,Mg14GaSb,Mg14GaSb,Ga-Mg-Sb,True,True,2,exact_sourceaware_structure_label_match,mp-1026420;mp-1026449
CHGSCREEN-00124,CHGNet_screened_public_hull_top5000,Mg14CrCd,Mg14CrCd,Cd-Cr-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1026496;mp-1026506
CHGSCREEN-00125,CHGNet_screened_public_hull_top5000,Mg14CdSn,Mg14CdSn,Cd-Mg-Sn,True,True,2,exact_sourceaware_structure_label_match,mp-1026575;mp-1026584
CHGSCREEN-00126,CHGNet_screened_public_hull_top5000,Mg14SnBi,Mg14SnBi,Bi-Mg-Sn,True,True,2,exact_sourceaware_structure_label_match,mp-1026625;mp-1026648
CHGSCREEN-00127,CHGNet_screened_public_hull_top5000,HfMg14Sn,HfMg14Sn,Hf-Mg-Sn,True,True,2,exact_sourceaware_structure_label_match,mp-1026638;mp-1026643
CHGSCREEN-00128,CHGNet_screened_public_hull_top5000,Mg14GaSi,Mg14GaSi,Ga-Mg-Si,True,True,2,exact_sourceaware_structure_label_match,mp-1026677;mp-1026683
CHGSCREEN-00129,CHGNet_screened_public_hull_top5000,Mg14SiSb,Mg14SiSb,Mg-Sb-Si,True,True,1,exact_sourceaware_structure_label_match,mp-1026689
CHGSCREEN-00130,CHGNet_screened_public_hull_top5000,LaMg14Bi,LaMg14Bi,Bi-La-Mg,True,True,1,exact_sourceaware_structure_label_match,mp-1026729
CHGSCREEN-00131,CHGNet_screened_public_hull_top5000,SrLaMg14,SrLaMg14,La-Mg-Sr,True,True,1,exact_sourceaware_structure_label_match,mp-1026763
CHGSCREEN-00132,CHGNet_screened_public_hull_top5000,LiMg14Bi,LiMg14Bi,Bi-Li-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1026768;mp-1026790
CHGSCREEN-00133,CHGNet_screened_public_hull_top5000,NaLaMg14,NaLaMg14,La-Mg-Na,True,True,1,exact_sourceaware_structure_label_match,mp-1026781
CHGSCREEN-00134,CHGNet_screened_public_hull_top5000,Mg14CuSi,Mg14CuSi,Cu-Mg-Si,True,True,2,exact_sourceaware_structure_label_match,mp-1026863;mp-1026882
CHGSCREEN-00135,CHGNet_screened_public_hull_top5000,Mg14CdCu,Mg14CdCu,Cd-Cu-Mg,True,True,2,exact_sourceaware_structure_label_match,mp-1026876;mp-1026877
CHGSCREEN-00136,CHGNet_screened_public_hull_top5000,Mg14CuSi,Mg14CuSi,Cu-Mg-Si,True,True,2,exact_sourceaware_structure_label_match,mp-1026863;mp-1026882
CHGSCREEN-00137,CHGNet_screened_public_hull_top5000,MoWSeS3,MoWSeS3,Mo-S-Se-W,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00138,CHGNet_screened_public_hull_top5000,MoWSeS3,MoWSeS3,Mo-S-Se-W,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00139,CHGNet_screened_public_hull_top5000,MoS2,MoS2,Mo-S,True,True,4,exact_sourceaware_structure_label_match,mp-1018809;mp-1027525;mp-1434;mp-2815
CHGSCREEN-00140,CHGNet_screened_public_hull_top5000,MoSe2,MoSe2,Mo-Se,False,True,3,formula_only_overlap_no_label_assignment,mp-1018807;mp-1634;mp-7581
CHGSCREEN-00141,CHGNet_screened_public_hull_top5000,Mo3W(SeS3)2,Mo3W(SeS3)2,Mo-S-Se-W,False,False,0,no_formula_overlap_no_label_assignment,
CHGSCREEN-00142,CHGNet_screened_public_hull_top5000,NaMg14Zr,NaMg14Zr,Mg-Na-Zr,True,True,1,exact_sourceaware_structure_label_match,mp-1027839
CHGSCREEN-00143,CHGNet_screened_public_hull_top5000,Mg14ZrCd,Mg14ZrCd,Cd-Mg-Zr,True,True,2,exact_sourceaware_structure_label_match,mp-1027840;mp-1027841
CHGSCREEN-00144,CHGNet_screened_public_hull_top5000,Mg14ZrGa,Mg14ZrGa,Ga-Mg-Zr,True,True,2,exact_sourceaware_structure_label_match,mp-1027854;mp-1027863
CHGSCREEN-00145,CHGNet_screened_public_hull_top5000,Mg14ZnCd,Mg14ZnCd,Cd-Mg-Zn,True,True,2,exact_sourceaware_structure_label_match,mp-1027888;mp-1027922
CHGSCREEN-00146,CHGNet_screened_public_hull_top5000,LaMg14Cu,LaMg14Cu,Cu-La-Mg,True,True,1,exact_sourceaware_structure_label_match,mp-1027902
CHGSCREEN-00147,CHGNet_screened_public_hull_top5000,Mg14ZnSn,Mg14ZnSn,Mg-Sn-Zn,True,True,2,exact_sourceaware_structure_label_match,mp-1027982;mp-1028014
CHGSCREEN-00148,CHGNet_screened_public_hull_top5000,NaYMg14,NaYMg14,Mg-Na-Y,True,True,2,exact_sourceaware_structure_label_match,mp-1028037;mp-1028042
CHGSCREEN-00149,CHGNet_screened_public_hull_top5000,NaYMg14,NaYMg14,Mg-Na-Y,True,True,2,exact_sourceaware_structure_label_match,mp-1028037;mp-1028042
CHGSCREEN-00150,CHGNet_screened_public_hull_top5000,Mg14MnSb,Mg14MnSb,Mg-Mn-Sb,True,True,2,exact_sourceaware_structure_label_match,mp-1028069;mp-1028074
CHGSCREEN-00151,CHGNet_screened_public_hull_top5000,Mg14MnBi,Mg14MnBi,Bi-Mg-Mn,True,True,2,exact_sourceaware_structure_label_match,mp-1028071;mp-1028078
CHGSCREEN-00152,CHGNet_screened_public_hull_top5000,CeMg14Zn,CeMg14Zn,Ce-Mg-Zn,True,True,2,exact_sourceaware_structure_label_match,mp-1028072;mp-1028079
CHGSCREEN-00153,CHGNet_screened_public_hull_top5000,Mg14MnCd,Mg14MnCd,Cd-Mg-Mn,True,True,1,exact_sourceaware_structure_label_match,mp-1028084
CHGSCREEN-00154,CHGNet_screened_public_hull_top5000,LiMg14Mn,LiMg14Mn,Li-Mg-Mn,True,True,1,exact_sourceaware_structure_label_match,mp-1028092
CHGSCREEN-00155,CHGNet_screened_public_hull_top5000,YMg14Cu,YMg14Cu,Cu-Mg-Y,True,True,2,exact_sourceaware_structure_label_match,mp-1028087;mp-1028130
CHGSCREEN-00156,CHGNet_screened_public_hull_top5000,CaMg14Bi,CaMg14Bi,Bi-Ca-Mg,True,True,1,exact_sourceaware_structure_label_match,mp-1028135
CHGSCREEN-00157,CHGNet_screened_public_hull_top5000,Mg14MnZn,Mg14MnZn,Mg-Mn-Zn,True,True,2,exact_sourceaware_structure_label_match,mp-1028133;mp-1028138
